Row_no	Genome	Length	N_contigs	N50	GC_content	Completeness	Contamination	Genome_accession	Species_rep	Lineage	Sample_accession	Study_accession	Country	Continent	Animal	Isolation_source	City	CheckM_quality	GUNC_pass	Species
559	MGYG000138145	2015338	128	22831	60.05	90.6	4.7	GUT_GENOME039683	MGYG000000741	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900548625	ERS1066674	ERP013933	USA	North America	Human	gut	NA	High	yes	sp900548625
560	MGYG000138150	2216597	156	19990	61.55	91.93	1.34	GUT_GENOME275154	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS972162	ERP012929	Israel	Asia	Human	gut	NA	High	yes	sp002404795
562	MGYG000138986	2362035	48	103774	59.01	91.95	1.34	GUT_GENOME026551	MGYG000004248	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	ERS1444617	ERP019502	Kazakhstan	Asia	Human	gut	NA	High	yes	sp000436735
563	MGYG000139306	2699566	271	16040	58.22	91.61	2.57	GUT_GENOME282689	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS436661	ERP005534	France	Europe	Human	gut	NA	High	yes	sp000432135
567	MGYG000140752	2767424	98	47887	58.25	91.4	2.18	GUT_GENOME039578	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1066672	ERP013933	USA	North America	Human	gut	NA	High	yes	sp000432135
573	MGYG000142887	2889947	70	61262	58.12	91.28	1.68	GUT_GENOME244780	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1066672	ERP013933	USA	North America	Human	gut	NA	High	yes	sp000432135
575	MGYG000143337	2553266	235	19780	59.05	92.75	3.82	GUT_GENOME067159	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS235548	ERP002469	Sweden	Europe	Human	gut	NA	High	yes	sp000432135
577	MGYG000143508	2575870	213	21390	58.92	94.83	4.76	GUT_GENOME088342	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS608534	ERP008729	Austria	Europe	Human	gut	NA	High	yes	sp000432135
579	MGYG000144440	3229386	114	58540	57.32	94.63	2.01	GUT_GENOME284893	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS436717	ERP005534	France	Europe	Human	gut	NA	High	yes	sp000432135
580	MGYG000144480	2220215	382	8428	61.88	92.54	2.29	GUT_GENOME069609	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS396323	ERP004605	Denmark	Europe	Human	gut	NA	High	yes	sp002404795
581	MGYG000144821	2332063	249	14213	61.59	92.62	4.31	GUT_GENOME024111	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS1444535	ERP019502	Kazakhstan	Asia	Human	gut	NA	High	yes	sp002404795
582	MGYG000144976	2195245	83	46497	59.28	90.6	0.67	GUT_GENOME087836	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS608510	ERP008729	Austria	Europe	Human	gut	NA	High	yes	sp000432135
583	MGYG000145379	3122379	227	23305	57.9	94.63	4.44	GUT_GENOME154425	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS475164	ERP005860	China	Asia	Human	gut	NA	High	yes	sp000432135
587	MGYG000146417	2276133	178	19352	61.25	91.95	1.01	GUT_GENOME166042	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SRS576042	SRP040146	USA	North America	Human	gut	NA	High	yes	sp002404795
588	MGYG000146859	2739602	116	39321	56.15	94.63	2.07	GUT_GENOME036958	MGYG000000369	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	ERS1015987	ERP013563	China	Asia	Human	gut	NA	High	yes	sp003516765
590	MGYG000147229	2671392	136	31954	60.57	90.6	0.67	GUT_GENOME217788	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SRS104197	SRP002163	USA	North America	Human	gut	NA	High	yes	sp002404795
594	MGYG000148124	2869340	117	37233	59.69	93.29	0.67	GUT_GENOME157600	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS634940	ERP009131	Canada	North America	Human	gut	NA	High	yes	sp002404795
596	MGYG000148136	2389466	229	14562	58.9	91.28	3.6	GUT_GENOME283935	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS436791	ERP005534	France	Europe	Human	gut	NA	High	yes	sp000432135
599	MGYG000149508	2963657	267	23934	57.91	91.15	4.7	GUT_GENOME281599	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS953893	ERP012929	Israel	Asia	Human	gut	NA	High	yes	sp000432135
601	MGYG000150320	3103917	174	30236	57.58	92.62	3.02	GUT_GENOME116715	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS396356	ERP004605	Denmark	Europe	Human	gut	NA	High	yes	sp000432135
607	MGYG000151379	2983405	221	23780	58.36	92.95	4.7	GUT_GENOME025395	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1444578	ERP019502	Kazakhstan	Asia	Human	gut	NA	High	yes	sp000432135
610	MGYG000151792	3471850	365	15355	55.72	92.95	2.56	GUT_GENOME283338	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS436781	ERP005534	France	Europe	Human	gut	NA	High	yes	sp900545925
612	MGYG000151988	2407679	116	30704	58.95	94.63	1.57	GUT_GENOME016850	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS1997048	SRP100575	China	Asia	Human	gut	NA	High	yes	sp000432135
613	MGYG000153428	2908618	166	28034	57.8	94.76	1.51	GUT_GENOME021515	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1444723	ERP019502	Germany	Europe	Human	gut	NA	High	yes	sp000432135
615	MGYG000154983	2525022	151	29471	60.68	91.72	2.45	GUT_GENOME252192	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS746726	ERP010700	UK	Europe	Human	gut	NA	High	yes	sp002404795
616	MGYG000155035	2116304	134	28587	57.39	92.34	2.15	GUT_GENOME125634	MGYG000000369	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	ERS1138753	ERP015450	China	Asia	Human	gut	NA	High	yes	sp003516765
618	MGYG000155215	3008289	225	24076	56.06	92.89	1.7	GUT_GENOME121363	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS396507	ERP004605	Spain	Europe	Human	gut	NA	High	yes	sp900545925
619	MGYG000155458	2023075	197	15808	57.58	91.65	2.52	GUT_GENOME123937	MGYG000000369	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	ERS1138840	ERP015450	China	Asia	Human	gut	NA	High	yes	sp003516765
621	MGYG000155588	2710540	124	44306	58.55	93.37	1.86	GUT_GENOME023684	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1444521	ERP019502	Kazakhstan	Asia	Human	gut	NA	High	yes	sp000432135
625	MGYG000156008	3231609	233	20716	55.81	91.05	0.67	GUT_GENOME114397	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS328999	ERP003612	Denmark	Europe	Human	gut	NA	High	yes	sp900545925
626	MGYG000156034	3191112	200	29036	57.55	90.6	2.35	GUT_GENOME092972	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS608604	ERP008729	Austria	Europe	Human	gut	NA	High	yes	sp000432135
627	MGYG000156065	2108734	194	16034	61.82	90.6	0.67	GUT_GENOME159188	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS634954	ERP009131	Canada	North America	Human	gut	NA	High	yes	sp002404795
630	MGYG000157411	2585686	244	23377	59.26	93.96	4.14	GUT_GENOME218057	MGYG000004248	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	SRS1170709	SRP066479	Peru	South America	Human	gut	NA	High	yes	sp000436735
639	MGYG000159559	2281908	156	22334	61.3	91.14	0.84	GUT_GENOME163674	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SRS1876621	SRP095580	Netherlands	Europe	Human	gut	NA	High	yes	sp002404795
640	MGYG000159605	2643684	87	51806	58.58	96.98	3.02	GUT_GENOME038081	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1016034	ERP013563	China	Asia	Human	gut	NA	High	yes	sp000432135
644	MGYG000161660	2499446	103	35566	58.52	95.08	1.23	GUT_GENOME200266	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS1997048	SRP100575	China	Asia	Human	gut	NA	High	yes	sp000432135
649	MGYG000163079	2196215	337	8929	56.93	91.15	4.1	GUT_GENOME137980	MGYG000002710	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900549635	ERS199357	ERP002061	Spain	Europe	Human	gut	NA	High	yes	sp900549635
653	MGYG000165036	2359946	80	55056	60.96	91.95	1.34	GUT_GENOME246725	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS1066706	ERP013933	USA	North America	Human	gut	NA	High	yes	sp002404795
654	MGYG000165504	3207639	245	22898	57.26	93.96	2.01	GUT_GENOME091860	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS608564	ERP008729	Austria	Europe	Human	gut	NA	High	yes	sp000432135
659	MGYG000166292	2897546	203	23197	56.13	90.27	1.74	GUT_GENOME020849	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS1444694	ERP019502	Germany	Europe	Human	gut	NA	High	yes	sp900545925
661	MGYG000166963	2112029	248	12233	61.81	91.28	0.67	GUT_GENOME087406	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS608493	ERP008729	Austria	Europe	Human	gut	NA	High	yes	sp002404795
664	MGYG000169064	1990708	95	33710	57.49	93.39	1.34	GUT_GENOME159055	MGYG000000369	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	ERS634932	ERP009131	Canada	North America	Human	gut	NA	High	yes	sp003516765
665	MGYG000169241	2781054	175	26893	58.2	94.8	2.01	GUT_GENOME282025	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS436668	ERP005534	France	Europe	Human	gut	NA	High	yes	sp000432135
667	MGYG000169901	2257530	313	10632	61.78	91.97	2.14	GUT_GENOME075339	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS396536	ERP004605	Spain	Europe	Human	gut	NA	High	yes	sp002404795
668	MGYG000170256	2965297	136	38248	57.75	94.63	2.85	GUT_GENOME271022	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS971976	ERP012929	Israel	Asia	Human	gut	NA	High	yes	sp000432135
669	MGYG000170305	3083224	343	15261	57.88	91.95	2.73	GUT_GENOME162743	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS1876306	SRP095580	Netherlands	Europe	Human	gut	NA	High	yes	sp000432135
671	MGYG000170643	2579377	93	50401	58.61	93.29	1.9	GUT_GENOME039592	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1066672	ERP013933	USA	North America	Human	gut	NA	High	yes	sp000432135
675	MGYG000170998	3666738	193	35919	55.3	93.96	1.34	GUT_GENOME283540	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS436731	ERP005534	France	Europe	Human	gut	NA	High	yes	sp900545925
681	MGYG000172209	2287829	109	36811	60.93	93.29	0.34	GUT_GENOME011020	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS554200	ERP007090	Sweden	Europe	Human	gut	NA	High	yes	sp002404795
683	MGYG000172701	2553552	258	13736	58.69	91.81	3.02	GUT_GENOME277997	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS972322	ERP012929	Israel	Asia	Human	gut	NA	High	yes	sp000432135
685	MGYG000172853	2320604	191	16295	61.49	94.97	1.36	GUT_GENOME158404	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS634907	ERP009131	Canada	North America	Human	gut	NA	High	yes	sp002404795
686	MGYG000172929	2861398	371	11094	57.95	90.37	4.25	GUT_GENOME206049	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS1996016	SRP100518	Spain	Europe	Human	gut	NA	High	yes	sp000432135
688	MGYG000173337	2756432	125	36614	58.68	94.63	1.68	GUT_GENOME122577	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1138791	ERP015450	China	Asia	Human	gut	NA	High	yes	sp000432135
694	MGYG000174963	2646337	95	41288	60.47	92.83	0.67	GUT_GENOME285952	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS436829	ERP005534	Germany	Europe	Human	gut	NA	High	yes	sp002404795
695	MGYG000175005	2902637	243	18446	58.27	91.58	4.5	GUT_GENOME177644	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS259442	SRP008047	China	Asia	Human	gut	NA	High	yes	sp000432135
696	MGYG000175691	2205945	121	28260	56.89	93.96	1.51	GUT_GENOME095148	MGYG000000369	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	ERS631833	ERP008729	Austria	Europe	Human	gut	NA	High	yes	sp003516765
702	MGYG000176818	2237203	74	46205	57.03	92.73	1.36	GUT_GENOME099423	MGYG000002710	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900549635	ERS1343404	ERP017091	China	Asia	Human	gut	NA	High	yes	sp900549635
706	MGYG000177270	2698995	183	33767	58.74	93.96	1.41	GUT_GENOME073894	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS396489	ERP004605	Spain	Europe	Human	gut	NA	High	yes	sp000432135
710	MGYG000179007	2756780	163	28619	58.32	92.62	1.36	GUT_GENOME138177	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS199367	ERP002061	Spain	Europe	Human	gut	NA	High	yes	sp000432135
712	MGYG000179967	2502317	66	64475	58.46	93.29	2.01	GUT_GENOME048163	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1647292	ERP019674	Germany	Europe	Human	gut	NA	High	yes	sp000432135
713	MGYG000180290	2603896	136	41235	56.46	95.3	1.68	GUT_GENOME268412	MGYG000000369	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	ERS971861	ERP012929	Israel	Asia	Human	gut	NA	High	yes	sp003516765
718	MGYG000181457	2473418	147	27606	58.82	90.6	1.34	GUT_GENOME157818	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS634943	ERP009131	Canada	North America	Human	gut	NA	High	yes	sp000432135
719	MGYG000181524	2658010	260	14753	58.63	93.4	1.48	GUT_GENOME245801	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1066668	ERP013933	USA	North America	Human	gut	NA	High	yes	sp000432135
722	MGYG000182761	2660922	258	17543	58.68	92.45	1.34	GUT_GENOME070284	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS396349	ERP004605	Denmark	Europe	Human	gut	NA	High	yes	sp000432135
724	MGYG000182884	3128021	58	105761	57.33	94.63	1.68	GUT_GENOME025142	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1444570	ERP019502	Kazakhstan	Asia	Human	gut	NA	High	yes	sp000432135
726	MGYG000184440	3061307	127	55888	57.67	94.63	1.34	GUT_GENOME266104	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS971773	ERP012929	Israel	Asia	Human	gut	NA	High	yes	sp000432135
729	MGYG000185266	2292562	213	15349	58.94	90.88	2.01	GUT_GENOME053908	MGYG000004248	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	ERS328754	ERP003612	Denmark	Europe	Human	gut	NA	High	yes	sp000436735
732	MGYG000186169	2383179	132	26287	61.03	93.96	1.51	GUT_GENOME132083	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	-	-	Germany	Europe	Human	gut	NA	High	yes	sp002404795
733	MGYG000186527	3671347	310	18871	56.84	96.83	4.92	GUT_GENOME283647	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS436746	ERP005534	France	Europe	Human	gut	NA	High	yes	sp000432135
738	MGYG000187340	2962481	364	14513	58.4	91.95	1.9	GUT_GENOME070539	MGYG000004248	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	ERS396360	ERP004605	Denmark	Europe	Human	gut	NA	High	yes	sp000436735
739	MGYG000187756	3179094	416	11365	55.67	91.73	3.02	GUT_GENOME242051	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SRS1735714	SRP090628	Estonia	Europe	Human	gut	NA	High	yes	sp900545925
743	MGYG000189208	2676367	106	42264	56.15	93.96	1.34	GUT_GENOME247675	MGYG000000369	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	ERS1066743	ERP013933	USA	North America	Human	gut	NA	High	yes	sp003516765
745	MGYG000189955	2255903	287	12045	61.49	94.3	0.67	GUT_GENOME271779	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS972011	ERP012929	Israel	Asia	Human	gut	NA	High	yes	sp002404795
747	MGYG000190345	3016940	301	15231	56.14	90.38	1.09	GUT_GENOME006757	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS473378	ERP005989	Sweden	Europe	Human	gut	NA	High	yes	sp900545925
751	MGYG000190836	3052742	44	129292	57.82	94.18	2.01	GUT_GENOME025661	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1444585	ERP019502	Kazakhstan	Asia	Human	gut	NA	High	yes	sp000432135
752	MGYG000191315	2745362	108	39323	58.27	92.28	1.38	GUT_GENOME137180	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS199318	ERP002061	Spain	Europe	Human	gut	NA	High	yes	sp000432135
753	MGYG000191576	2853744	265	18053	56.11	90.52	2.74	GUT_GENOME276332	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS972227	ERP012929	Israel	Asia	Human	gut	NA	High	yes	sp900545925
757	MGYG000192974	1970824	109	26948	57.61	93.51	1.34	GUT_GENOME025423	MGYG000000369	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	ERS1444579	ERP019502	Kazakhstan	Asia	Human	gut	NA	High	yes	sp003516765
774	MGYG000199097	2461910	338	11577	59.05	93.29	2.35	GUT_GENOME089092	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS608564	ERP008729	Austria	Europe	Human	gut	NA	High	yes	sp000432135
776	MGYG000200261	2497224	195	20739	58.63	92.51	1.01	GUT_GENOME259040	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS746952	ERP010700	UK	Europe	Human	gut	NA	High	yes	sp000432135
777	MGYG000200487	3052651	139	32157	55.97	92.28	1.34	GUT_GENOME179288	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SRS1465256	SRP075633	USA	North America	Human	gut	NA	High	yes	sp900545925
780	MGYG000200720	2510099	172	25224	60.79	94.57	2.41	GUT_GENOME165410	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SRS576034	SRP040146	USA	North America	Human	gut	NA	High	yes	sp002404795
782	MGYG000201325	2258639	245	13004	59.21	93.46	2.68	GUT_GENOME121426	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS396508	ERP004605	Spain	Europe	Human	gut	NA	High	yes	sp000432135
784	MGYG000201453	3088623	123	46662	55.8	94.63	3.02	GUT_GENOME260624	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS746926	ERP010700	UK	Europe	Human	gut	NA	High	yes	sp900545925
787	MGYG000203243	3111392	125	41278	57.64	94.63	2.07	GUT_GENOME047422	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1647331	ERP019674	Germany	Europe	Human	gut	NA	High	yes	sp000432135
790	MGYG000203952	1998132	243	12389	57.33	91.23	1.79	GUT_GENOME220478	MGYG000000369	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	SRS1596796	SRP080787	Mongolia	Asia	Human	gut	NA	High	yes	sp003516765
